Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
Paan Singh Tomar,Tigmanshu Dhulia,Movie,4,4.1,6/9/2012,6/9/2012,Hindi,Biography,Watched,
Monsieur Lazhar,Philippe Falardeau,Movie,3,3.8,6/6/2012,6/6/2012,French,Drama,Watched,
The Constant Gardener,Fernando Meirelles,Movie,4,3.7,5/31/2012,5/31/2012,English,Thriller,Watched,
Maria Full of Grace,Joshua Marston,Movie,5,3.8,5/31/2012,5/31/2012,English,Drama,Watched,
Fish Tank,Andrea Arnold,Movie,5,3.7,5/23/2012,5/23/2012,English,Drama,Watched,
Frost/Nixon,Ron Howard,Movie,3,3.9,5/20/2012,5/20/2012,English,Biography,Watched,
Syriana,Stephen Gaghan,Movie,4,3.5,5/20/2012,5/20/2012,English,War,Watched,
Michael Clayton,Tony Gilroy,Movie,3,3.7,5/13/2012,5/13/2012,English,Thriller,Watched,
Mystic River,Clint Eastwood,Movie,4,4.0,5/13/2012,5/13/2012,English,Thriller,Watched,
The Girl with the Dragon Tattoo,Niels Arden Oplev,Movie,4,3.9,5/13/2012,5/13/2012,Swedish,Thriller,Watched,
Gone Baby Gone,Ben Affleck,Movie,4,3.9,5/13/2012,5/13/2012,English,Thriller,Watched,
Insomnia,Christopher Nolan,Movie,4,3.6,5/13/2012,5/13/2012,English,Thriller,Watched,
Breach,Billy Ray,Movie,5,3.5,5/13/2012,5/13/2012,English,Biography,Watched,
Trishna,Michael Winterbottom,Movie,1,3.0,4/30/2012,4/30/2012,English,Drama,Watched,
Wuthering Heights,Andrea Arnold,Movie,2,3.1,4/30/2012,4/30/2012,English,Romance,Watched,
Udaan,Vikramaditya Motwane,Movie,4,4.1,4/30/2012,4/30/2012,Hindi,Drama,Watched,
The Imposter,Bart Layton,Movie,4,3.8,4/27/2012,4/27/2012,English,"Documentary, Biography",Watched,
Polisse,Maiwenn,Movie,4,3.7,4/27/2012,4/27/2012,French,Crime,Watched,
Anand,Hrishikesh Mukherjee,Movie,4,4.4,4/22/2012,4/22/2012,Hindi,Drama,Watched,
All about my mother,Pedro Almodovar,Movie,4,4.0,4/22/2012,4/22/2012,Spanish,Drama,Watched,
The Battle of Red Cliffs,John Woo,Movie,4,3.7,4/22/2012,4/22/2012,Chinese,War,Watched,
A Mighty Heart,Michael Winterbottom,Movie,4,3.4,4/22/2012,4/22/2012,English,Drama,Watched,
The Thomas Crown Affair,John McTiernan,Movie,2,3.4,4/18/2012,4/18/2012,English,Thriller,Watched,
Slumdog Millionaire,"Loveleen Tandan, Danny Boyle",Movie,3,4.0,4/18/2012,4/18/2012,Hindi,Romance,Watched,
